"start.station.id","start.station.latitude","start.station.longitude","trips_departed","city","start.station.name"
3080,40.70934,-73.95608,3333,"NYC","S 4 St & Rodney St"
3081,40.711863,-73.944024,3801,"NYC","Graham Ave & Grand St"
3082,40.71167351,-73.95141312,5119,"NYC","Hope St & Union Ave"
3083,40.71247661,-73.94100005,2273,"NYC","Bushwick Ave & Powers St"
3085,40.71469,-73.95739,3701,"NYC","Roebling St & N 4 St"
3086,40.715143,-73.944507,4739,"NYC","Graham Ave & Conselyea St"
3087,40.71413311,-73.95234386,3761,"NYC","Metropolitan Ave & Meeker Ave"
3088,40.7160751,-73.952029,1837,"NYC","Union Ave & Jackson St"
309,40.7149787,-74.013012,6897,"NYC","Murray St & West St"
3092,40.7190095,-73.95852515,5065,"NYC","Berry St & N 8 St"
3093,40.71745169,-73.95850939,7174,"NYC","N 6 St & Bedford Ave"
3094,40.7169811,-73.94485918,2184,"NYC","Graham Ave & Withers St"
3095,40.71929301,-73.94500379,1323,"NYC","Graham Ave & Herbert St"
3096,40.71924,-73.95242,6527,"NYC","Union Ave & N 12 St"
310,40.68926942,-73.98912867,3403,"NYC","State St & Smith St"
3100,40.7248125644002,-73.947526216507,3090,"NYC","Nassau Ave & Newell St"
3101,40.72079821,-73.95484712,4601,"NYC","N 12 St & Bedford Ave"
3102,40.72179134,-73.9504154,3539,"NYC","Driggs Ave & Lorimer St"
3105,40.724055,-73.955736,1196,"NYC","N 15 St & Wythe Ave"
3106,40.72325,-73.94308,3308,"NYC","Driggs Ave & N Henry St"
3107,40.72311651,-73.95212324,5443,"NYC","Bedford Ave & Nassau Ave"
3108,40.72557,-73.94434,3619,"NYC","Nassau Ave & Russell St"
3109,40.72606,-73.95621,3112,"NYC","Banker St & Meserole Ave"
311,40.7172274,-73.98802084,11251,"NYC","Norfolk St & Broome St"
3110,40.72708584,-73.95299117,4200,"NYC","Meserole Ave & Manhattan Ave"
3112,40.72906,-73.95779,6846,"NYC","Milton St & Franklin St"
3115,40.73232194,-73.9550858,4272,"NYC","India St & Manhattan Ave"
3116,40.73266,-73.95826,4270,"NYC","Huron St & Franklin St"
